[I 241224 13:50:15 app:51] on open
[I 241224 13:50:15 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12060651, 'exchange_timestamp': 1735028414000, 'last_traded_price': 122590, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:15 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12060670, 'exchange_timestamp': 1735028414000, 'last_traded_price': 191625, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:15 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12061142, 'exchange_timestamp': 1735028415000, 'last_traded_price': 122610, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:15 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12061280, 'exchange_timestamp': 1735028415000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:15 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12061327, 'exchange_timestamp': 1735028415000, 'last_traded_price': 122590, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:15 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12061344, 'exchange_timestamp': 1735028415000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:16 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12061920, 'exchange_timestamp': 1735028416000, 'last_traded_price': 122590, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:16 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12062012, 'exchange_timestamp': 1735028416000, 'last_traded_price': 191625, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:17 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12062520, 'exchange_timestamp': 1735028417000, 'last_traded_price': 122610, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:17 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12062569, 'exchange_timestamp': 1735028417000, 'last_traded_price': 122610, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:18 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12062850, 'exchange_timestamp': 1735028418000, 'last_traded_price': 191625, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:18 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12063242, 'exchange_timestamp': 1735028418000, 'last_traded_price': 122610, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:18 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12063418, 'exchange_timestamp': 1735028418000, 'last_traded_price': 122610, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:19 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12063559, 'exchange_timestamp': 1735028419000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:19 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12063884, 'exchange_timestamp': 1735028419000, 'last_traded_price': 122605, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:19 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12063898, 'exchange_timestamp': 1735028419000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:20 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12064134, 'exchange_timestamp': 1735028420000, 'last_traded_price': 122605, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:20 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12064296, 'exchange_timestamp': 1735028420000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:20 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12064558, 'exchange_timestamp': 1735028420000, 'last_traded_price': 122615, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:20 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12064574, 'exchange_timestamp': 1735028420000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:21 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12064709, 'exchange_timestamp': 1735028421000, 'last_traded_price': 122615, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:21 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12064872, 'exchange_timestamp': 1735028421000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:21 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12065101, 'exchange_timestamp': 1735028421000, 'last_traded_price': 122630, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:21 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12065116, 'exchange_timestamp': 1735028421000, 'last_traded_price': 191640, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:22 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12065457, 'exchange_timestamp': 1735028422000, 'last_traded_price': 122630, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:22 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12065583, 'exchange_timestamp': 1735028422000, 'last_traded_price': 191610, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:22 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12065844, 'exchange_timestamp': 1735028422000, 'last_traded_price': 122625, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:22 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12065867, 'exchange_timestamp': 1735028422000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:23 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12066223, 'exchange_timestamp': 1735028423000, 'last_traded_price': 122630, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:23 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12066328, 'exchange_timestamp': 1735028423000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:23 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12066483, 'exchange_timestamp': 1735028423000, 'last_traded_price': 122630, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:23 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12066502, 'exchange_timestamp': 1735028423000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:24 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12066937, 'exchange_timestamp': 1735028424000, 'last_traded_price': 122635, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:24 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12067075, 'exchange_timestamp': 1735028424000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:24 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12067165, 'exchange_timestamp': 1735028424000, 'last_traded_price': 122610, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:24 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12067184, 'exchange_timestamp': 1735028424000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:25 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12067572, 'exchange_timestamp': 1735028425000, 'last_traded_price': 122635, 'subscription_mode_val': 'LTP'}
